mot,definition_fr,traduction_en,exemple_fr,niveau,theme
evaluer,Mesurer un niveau ou une qualite.,to evaluate,Le professeur evalue la coherence du texte.,B1,Examens
corriger,Identifier et reparer une erreur.,to correct,Je corrige mes fautes de grammaire.,A2,Examens
orthographe,Maniere correcte d'ecrire les mots.,spelling,Mon orthographe s'ameliore.,A2,Expression
syntaxe,Organisation des mots dans la phrase.,syntax,La syntaxe de cette phrase est correcte.,B2,Expression
registre,Niveau de langue selon le contexte.,register,Le registre doit rester formel.,B2,Expression
cohesion,Lien entre les phrases d'un texte.,cohesion,La cohesion renforce la clarte du texte.,B2,Expression
connecteur,Mot qui relie les idees.,connector,Utilise des connecteurs varies.,B1,Expression
cependant,Mot pour exprimer une opposition.,however,"Le sujet est difficile; cependant, il est interessant.",B1,Expression
donc,Mot qui exprime une consequence.,therefore,"Il s'entraine, donc il progresse.",A2,Expression
neanmoins,Mot de concession au registre soutenu.,nevertheless,"Le delai est court; neanmoins, je vais terminer.",B2,Expression
fiable,En qui on peut avoir confiance.,reliable,Cette source est fiable.,B1,Travail
efficace,Qui produit de bons resultats.,effective,Cette methode est efficace.,A2,Etudes
rentable,Qui rapporte plus qu'il ne coute.,cost-effective,La formation en ligne est rentable.,B2,Travail
adapter,Modifier selon le besoin.,to adapt,Il faut adapter son style au sujet.,B1,Expression
anticiper,Prevoir a l'avance.,to anticipate,J'anticipe les difficultes de l'examen.,B2,Examens
rediger,Ecrire de maniere organisee.,to draft,Je redige un plan avant le texte final.,B1,Expression
reformuler,Dire autrement.,to rephrase,Je reformule l'idee pour plus de clarte.,B2,Expression
convaincant,Qui persuade efficacement.,convincing,Ton exemple est convaincant.,B2,Expression
nuance,Difference fine entre deux idees.,nuance,Il manque une nuance dans ton argument.,B2,Expression
clarte,Qualite de ce qui est facile a comprendre.,clarity,La clarte est indispensable dans un essai.,B1,Expression
precision,Exactitude dans les mots utilises.,precision,La precision du vocabulaire est evaluee.,B2,Expression
structure,Organisation generale d'un texte.,structure,La structure en trois parties est efficace.,A2,Expression
conclusion,Derniere partie qui ferme le texte.,conclusion,La conclusion doit ouvrir une perspective.,A2,Expression
introduction,Partie initiale qui presente le sujet.,introduction,L'introduction annonce la problematique.,A2,Expression
problematique,Question centrale d'un debat.,problem statement,La problematique doit etre claire des le debut.,B2,Expression
transition,Phrase qui relie deux parties.,transition,Ajoute une transition entre tes paragraphes.,B1,Expression
fluide,"Qui se lit facilement, sans rupture.",fluid,Le texte est fluide et agreable a lire.,B1,Expression
hesitation,Manque de certitude.,hesitation,Evite les hesitations dans ta these.,B1,Expression
soutenir,Defendre une idee.,to support,Je soutiens cette proposition avec deux arguments.,B1,Expression
contester,Refuser ou critiquer une idee.,to challenge,Il conteste cette decision.,B2,Societe
priorite,Ce qui doit etre traite en premier.,priority,Ma priorite est l'orthographe.,A2,Etudes
delai,Temps limite pour terminer.,deadline,Le delai de redaction est de 30 minutes.,B1,Examens
resultat,Ce qu'on obtient apres un effort.,result,Le resultat depend de la preparation.,A2,Examens
simulation,Exercice qui imite l'examen reel.,mock test,Je fais une simulation chaque week-end.,B1,Examens
retroaction,Commentaire utile pour progresser.,feedback,La retroaction du professeur est precise.,B2,Etudes
methodique,Organise et logique dans la maniere de travailler.,methodical,Une revision methodique est plus efficace.,B2,Etudes
resumer,Presenter l'essentiel en peu de mots.,to summarize,Savoir resumer est utile pour le TCF.,B1,Expression
developper,Expliquer en detail.,to develop,Developpe ton deuxieme argument.,A2,Expression
illustrer,Montrer par un exemple.,to illustrate,Illustre ton idee avec une experience concrete.,B1,Expression
convivial,Agreable et chaleureux.,friendly,L'environnement d'etude est convivial.,B1,Societe
epanouissement,Developpement personnel positif.,fulfillment,La lecture contribue a mon epanouissement.,B2,Societe
collaboratif,Qui se fait avec d'autres personnes.,collaborative,Le travail collaboratif stimule les idees.,B2,Travail
responsable,Qui assume ses decisions et ses actions.,responsible,Un etudiant responsable planifie sa revision.,A2,Etudes
assiduite,Presence et regularite dans le travail.,diligence,L'assiduite aide a monter en niveau.,B2,Etudes
souplesse,Capacite a s'adapter facilement.,flexibility,La formation a distance offre plus de souplesse.,B1,Technologie
ressource,Outil ou document utile.,resource,Cette ressource explique bien le subjonctif.,A2,Technologie
aisance,Terme utile pour parler de expression dans un contexte de preparation TCF.,ease,J'utilise le mot 'aisance' pour rendre mon expression plus precise.,B2,Expression
analyse,Terme utile pour parler de etudes dans un contexte de preparation TCF.,analysis,J'utilise le mot 'analyse' pour rendre mon expression plus precise.,B1,Etudes
annonce,Terme utile pour parler de travail dans un contexte de preparation TCF.,announcement,J'utilise le mot 'annonce' pour rendre mon expression plus precise.,A2,Travail
apprenant,Terme utile pour parler de etudes dans un contexte de preparation TCF.,learner,J'utilise le mot 'apprenant' pour rendre mon expression plus precise.,A2,Etudes
argumentation,Terme utile pour parler de expression dans un contexte de preparation TCF.,argumentation,J'utilise le mot 'argumentation' pour rendre mon expression plus precise.,B2,Expression
assurer,Terme utile pour parler de travail dans un contexte de preparation TCF.,to ensure,J'utilise le mot 'assurer' pour rendre mon expression plus precise.,B1,Travail
atelier,Terme utile pour parler de etudes dans un contexte de preparation TCF.,workshop,J'utilise le mot 'atelier' pour rendre mon expression plus precise.,A2,Etudes
attitude,Terme utile pour parler de societe dans un contexte de preparation TCF.,attitude,J'utilise le mot 'attitude' pour rendre mon expression plus precise.,A2,Societe
auditoire,Terme utile pour parler de expression dans un contexte de preparation TCF.,audience,J'utilise le mot 'auditoire' pour rendre mon expression plus precise.,B2,Expression
autocorrection,Terme utile pour parler de etudes dans un contexte de preparation TCF.,self-correction,J'utilise le mot 'autocorrection' pour rendre mon expression plus precise.,B2,Etudes
autoevaluation,Terme utile pour parler de examens dans un contexte de preparation TCF.,self-assessment,J'utilise le mot 'autoevaluation' pour rendre mon expression plus precise.,B2,Examens
brouillon,Terme utile pour parler de expression dans un contexte de preparation TCF.,draft,J'utilise le mot 'brouillon' pour rendre mon expression plus precise.,A2,Expression
cadre,Terme utile pour parler de travail dans un contexte de preparation TCF.,framework,J'utilise le mot 'cadre' pour rendre mon expression plus precise.,B1,Travail
capacite,Terme utile pour parler de etudes dans un contexte de preparation TCF.,ability,J'utilise le mot 'capacite' pour rendre mon expression plus precise.,A2,Etudes
carriere,Terme utile pour parler de travail dans un contexte de preparation TCF.,career,J'utilise le mot 'carriere' pour rendre mon expression plus precise.,A2,Travail
certification,Terme utile pour parler de examens dans un contexte de preparation TCF.,certification,J'utilise le mot 'certification' pour rendre mon expression plus precise.,B1,Examens
citer,Terme utile pour parler de expression dans un contexte de preparation TCF.,to quote,J'utilise le mot 'citer' pour rendre mon expression plus precise.,B1,Expression
classement,Terme utile pour parler de examens dans un contexte de preparation TCF.,ranking,J'utilise le mot 'classement' pour rendre mon expression plus precise.,B2,Examens
collaborer,Terme utile pour parler de travail dans un contexte de preparation TCF.,to collaborate,J'utilise le mot 'collaborer' pour rendre mon expression plus precise.,B1,Travail
commentaire,Terme utile pour parler de expression dans un contexte de preparation TCF.,comment,J'utilise le mot 'commentaire' pour rendre mon expression plus precise.,A2,Expression
competence,Terme utile pour parler de etudes dans un contexte de preparation TCF.,skill,J'utilise le mot 'competence' pour rendre mon expression plus precise.,A2,Etudes
comprehensible,Terme utile pour parler de expression dans un contexte de preparation TCF.,understandable,J'utilise le mot 'comprehensible' pour rendre mon expression plus precise.,B1,Expression
concision,Terme utile pour parler de expression dans un contexte de preparation TCF.,conciseness,J'utilise le mot 'concision' pour rendre mon expression plus precise.,B2,Expression
confiance,Terme utile pour parler de societe dans un contexte de preparation TCF.,confidence,J'utilise le mot 'confiance' pour rendre mon expression plus precise.,A2,Societe
conseiller,Terme utile pour parler de travail dans un contexte de preparation TCF.,to advise,J'utilise le mot 'conseiller' pour rendre mon expression plus precise.,B1,Travail
consistant,Terme utile pour parler de etudes dans un contexte de preparation TCF.,consistent,J'utilise le mot 'consistant' pour rendre mon expression plus precise.,B2,Etudes
conviction,Terme utile pour parler de expression dans un contexte de preparation TCF.,conviction,J'utilise le mot 'conviction' pour rendre mon expression plus precise.,B2,Expression
convocation,Terme utile pour parler de examens dans un contexte de preparation TCF.,summons,J'utilise le mot 'convocation' pour rendre mon expression plus precise.,B1,Examens
creativite,Terme utile pour parler de expression dans un contexte de preparation TCF.,creativity,J'utilise le mot 'creativite' pour rendre mon expression plus precise.,B1,Expression
critere,Terme utile pour parler de examens dans un contexte de preparation TCF.,criterion,J'utilise le mot 'critere' pour rendre mon expression plus precise.,B1,Examens
debattre,Terme utile pour parler de expression dans un contexte de preparation TCF.,to debate,J'utilise le mot 'debattre' pour rendre mon expression plus precise.,B2,Expression
decrire,Terme utile pour parler de expression dans un contexte de preparation TCF.,to describe,J'utilise le mot 'decrire' pour rendre mon expression plus precise.,A2,Expression
demarche,Terme utile pour parler de etudes dans un contexte de preparation TCF.,approach,J'utilise le mot 'demarche' pour rendre mon expression plus precise.,B2,Etudes
demonstration,Terme utile pour parler de expression dans un contexte de preparation TCF.,demonstration,J'utilise le mot 'demonstration' pour rendre mon expression plus precise.,B2,Expression
detail,Terme utile pour parler de expression dans un contexte de preparation TCF.,detail,J'utilise le mot 'detail' pour rendre mon expression plus precise.,A2,Expression
diplome,Terme utile pour parler de etudes dans un contexte de preparation TCF.,degree,J'utilise le mot 'diplome' pour rendre mon expression plus precise.,A2,Etudes
discours,Terme utile pour parler de expression dans un contexte de preparation TCF.,speech,J'utilise le mot 'discours' pour rendre mon expression plus precise.,B1,Expression
dissertation,Terme utile pour parler de expression dans un contexte de preparation TCF.,essay,J'utilise le mot 'dissertation' pour rendre mon expression plus precise.,B2,Expression
documenter,Terme utile pour parler de travail dans un contexte de preparation TCF.,to document,J'utilise le mot 'documenter' pour rendre mon expression plus precise.,B2,Travail
domaine,Terme utile pour parler de etudes dans un contexte de preparation TCF.,field,J'utilise le mot 'domaine' pour rendre mon expression plus precise.,A2,Etudes
durable,Terme utile pour parler de societe dans un contexte de preparation TCF.,sustainable,J'utilise le mot 'durable' pour rendre mon expression plus precise.,B1,Societe
echanger,Terme utile pour parler de societe dans un contexte de preparation TCF.,to exchange,J'utilise le mot 'echanger' pour rendre mon expression plus precise.,A2,Societe
echeance,Terme utile pour parler de examens dans un contexte de preparation TCF.,due date,J'utilise le mot 'echeance' pour rendre mon expression plus precise.,B1,Examens
eclaircir,Terme utile pour parler de expression dans un contexte de preparation TCF.,to clarify,J'utilise le mot 'eclaircir' pour rendre mon expression plus precise.,B2,Expression
ecoute,Terme utile pour parler de etudes dans un contexte de preparation TCF.,listening,J'utilise le mot 'ecoute' pour rendre mon expression plus precise.,A2,Etudes
effort,Terme utile pour parler de etudes dans un contexte de preparation TCF.,effort,J'utilise le mot 'effort' pour rendre mon expression plus precise.,A2,Etudes
elargir,Terme utile pour parler de etudes dans un contexte de preparation TCF.,to broaden,J'utilise le mot 'elargir' pour rendre mon expression plus precise.,B2,Etudes
employabilite,Terme utile pour parler de travail dans un contexte de preparation TCF.,employability,J'utilise le mot 'employabilite' pour rendre mon expression plus precise.,B2,Travail
encadrement,Terme utile pour parler de travail dans un contexte de preparation TCF.,supervision,J'utilise le mot 'encadrement' pour rendre mon expression plus precise.,B2,Travail
enchainement,Terme utile pour parler de expression dans un contexte de preparation TCF.,flow,J'utilise le mot 'enchainement' pour rendre mon expression plus precise.,B2,Expression
encourager,Terme utile pour parler de societe dans un contexte de preparation TCF.,to encourage,J'utilise le mot 'encourager' pour rendre mon expression plus precise.,A2,Societe
energie,Terme utile pour parler de societe dans un contexte de preparation TCF.,energy,J'utilise le mot 'energie' pour rendre mon expression plus precise.,A2,Societe
entretien,Terme utile pour parler de travail dans un contexte de preparation TCF.,interview,J'utilise le mot 'entretien' pour rendre mon expression plus precise.,B1,Travail
equilibre,Terme utile pour parler de societe dans un contexte de preparation TCF.,balance,J'utilise le mot 'equilibre' pour rendre mon expression plus precise.,B1,Societe
erreur,Terme utile pour parler de etudes dans un contexte de preparation TCF.,mistake,J'utilise le mot 'erreur' pour rendre mon expression plus precise.,A1,Etudes
essentiel,Terme utile pour parler de etudes dans un contexte de preparation TCF.,essential,J'utilise le mot 'essentiel' pour rendre mon expression plus precise.,A2,Etudes
estimation,Terme utile pour parler de examens dans un contexte de preparation TCF.,estimate,J'utilise le mot 'estimation' pour rendre mon expression plus precise.,B1,Examens
ethique,Terme utile pour parler de societe dans un contexte de preparation TCF.,ethics,J'utilise le mot 'ethique' pour rendre mon expression plus precise.,B2,Societe
evaluation,Terme utile pour parler de examens dans un contexte de preparation TCF.,evaluation,J'utilise le mot 'evaluation' pour rendre mon expression plus precise.,A2,Examens
evidence,Terme utile pour parler de expression dans un contexte de preparation TCF.,evidence,J'utilise le mot 'evidence' pour rendre mon expression plus precise.,B2,Expression
evolution,Terme utile pour parler de societe dans un contexte de preparation TCF.,evolution,J'utilise le mot 'evolution' pour rendre mon expression plus precise.,A2,Societe
exactitude,Terme utile pour parler de expression dans un contexte de preparation TCF.,accuracy,J'utilise le mot 'exactitude' pour rendre mon expression plus precise.,B2,Expression
exigence,Terme utile pour parler de examens dans un contexte de preparation TCF.,requirement,J'utilise le mot 'exigence' pour rendre mon expression plus precise.,B1,Examens
experience,Terme utile pour parler de societe dans un contexte de preparation TCF.,experience,J'utilise le mot 'experience' pour rendre mon expression plus precise.,A2,Societe
explicite,Terme utile pour parler de expression dans un contexte de preparation TCF.,explicit,J'utilise le mot 'explicite' pour rendre mon expression plus precise.,B2,Expression
faciliter,Terme utile pour parler de etudes dans un contexte de preparation TCF.,to facilitate,J'utilise le mot 'faciliter' pour rendre mon expression plus precise.,B1,Etudes
fiabilite,Terme utile pour parler de travail dans un contexte de preparation TCF.,reliability,J'utilise le mot 'fiabilite' pour rendre mon expression plus precise.,B2,Travail
formuler,Terme utile pour parler de expression dans un contexte de preparation TCF.,to formulate,J'utilise le mot 'formuler' pour rendre mon expression plus precise.,B1,Expression
habitude,Terme utile pour parler de etudes dans un contexte de preparation TCF.,habit,J'utilise le mot 'habitude' pour rendre mon expression plus precise.,A2,Etudes
hypothese,Terme utile pour parler de expression dans un contexte de preparation TCF.,hypothesis,J'utilise le mot 'hypothese' pour rendre mon expression plus precise.,B2,Expression
impact,Terme utile pour parler de societe dans un contexte de preparation TCF.,impact,J'utilise le mot 'impact' pour rendre mon expression plus precise.,A2,Societe
implication,Terme utile pour parler de travail dans un contexte de preparation TCF.,involvement,J'utilise le mot 'implication' pour rendre mon expression plus precise.,B2,Travail
inciter,Terme utile pour parler de societe dans un contexte de preparation TCF.,to encourage,J'utilise le mot 'inciter' pour rendre mon expression plus precise.,B1,Societe
indicator,Terme utile pour parler de examens dans un contexte de preparation TCF.,indicator,J'utilise le mot 'indicator' pour rendre mon expression plus precise.,B2,Examens
initiative,Terme utile pour parler de travail dans un contexte de preparation TCF.,initiative,J'utilise le mot 'initiative' pour rendre mon expression plus precise.,B1,Travail
innovation,Terme utile pour parler de societe dans un contexte de preparation TCF.,innovation,J'utilise le mot 'innovation' pour rendre mon expression plus precise.,B2,Societe
inscription,Terme utile pour parler de examens dans un contexte de preparation TCF.,registration,J'utilise le mot 'inscription' pour rendre mon expression plus precise.,A2,Examens
intention,Terme utile pour parler de expression dans un contexte de preparation TCF.,intention,J'utilise le mot 'intention' pour rendre mon expression plus precise.,A2,Expression
interpretation,Terme utile pour parler de expression dans un contexte de preparation TCF.,interpretation,J'utilise le mot 'interpretation' pour rendre mon expression plus precise.,B2,Expression
intervenir,Terme utile pour parler de societe dans un contexte de preparation TCF.,to intervene,J'utilise le mot 'intervenir' pour rendre mon expression plus precise.,B1,Societe
justification,Terme utile pour parler de expression dans un contexte de preparation TCF.,justification,J'utilise le mot 'justification' pour rendre mon expression plus precise.,B2,Expression
lecture,Terme utile pour parler de etudes dans un contexte de preparation TCF.,reading,J'utilise le mot 'lecture' pour rendre mon expression plus precise.,A2,Etudes
legitimite,Terme utile pour parler de societe dans un contexte de preparation TCF.,legitimacy,J'utilise le mot 'legitimite' pour rendre mon expression plus precise.,B2,Societe
logique,Terme utile pour parler de expression dans un contexte de preparation TCF.,logic,J'utilise le mot 'logique' pour rendre mon expression plus precise.,B1,Expression
maitrise,Terme utile pour parler de etudes dans un contexte de preparation TCF.,mastery,J'utilise le mot 'maitrise' pour rendre mon expression plus precise.,B2,Etudes
methode,Terme utile pour parler de etudes dans un contexte de preparation TCF.,method,J'utilise le mot 'methode' pour rendre mon expression plus precise.,A2,Etudes
mobilite,Terme utile pour parler de societe dans un contexte de preparation TCF.,mobility,J'utilise le mot 'mobilite' pour rendre mon expression plus precise.,B1,Societe
module,Terme utile pour parler de etudes dans un contexte de preparation TCF.,module,J'utilise le mot 'module' pour rendre mon expression plus precise.,A2,Etudes
niveau,Terme utile pour parler de examens dans un contexte de preparation TCF.,level,J'utilise le mot 'niveau' pour rendre mon expression plus precise.,A1,Examens
notion,Terme utile pour parler de etudes dans un contexte de preparation TCF.,notion,J'utilise le mot 'notion' pour rendre mon expression plus precise.,A2,Etudes
obstacle,Terme utile pour parler de societe dans un contexte de preparation TCF.,obstacle,J'utilise le mot 'obstacle' pour rendre mon expression plus precise.,B1,Societe
opinion,Terme utile pour parler de expression dans un contexte de preparation TCF.,opinion,J'utilise le mot 'opinion' pour rendre mon expression plus precise.,A2,Expression
oral,Terme utile pour parler de examens dans un contexte de preparation TCF.,oral,J'utilise le mot 'oral' pour rendre mon expression plus precise.,A2,Examens
organisation,Terme utile pour parler de travail dans un contexte de preparation TCF.,organization,J'utilise le mot 'organisation' pour rendre mon expression plus precise.,A2,Travail
paragraphe,Terme utile pour parler de expression dans un contexte de preparation TCF.,paragraph,J'utilise le mot 'paragraphe' pour rendre mon expression plus precise.,A2,Expression
parcours,Terme utile pour parler de etudes dans un contexte de preparation TCF.,pathway,J'utilise le mot 'parcours' pour rendre mon expression plus precise.,B1,Etudes
participation,Terme utile pour parler de societe dans un contexte de preparation TCF.,participation,J'utilise le mot 'participation' pour rendre mon expression plus precise.,A2,Societe
pertinence,Terme utile pour parler de expression dans un contexte de preparation TCF.,relevance,J'utilise le mot 'pertinence' pour rendre mon expression plus precise.,B2,Expression
planification,Terme utile pour parler de travail dans un contexte de preparation TCF.,planning,J'utilise le mot 'planification' pour rendre mon expression plus precise.,B1,Travail
ponctualite,Terme utile pour parler de travail dans un contexte de preparation TCF.,punctuality,J'utilise le mot 'ponctualite' pour rendre mon expression plus precise.,A2,Travail
position,Terme utile pour parler de expression dans un contexte de preparation TCF.,position,J'utilise le mot 'position' pour rendre mon expression plus precise.,A2,Expression
preparation,Terme utile pour parler de examens dans un contexte de preparation TCF.,preparation,J'utilise le mot 'preparation' pour rendre mon expression plus precise.,A2,Examens
prioriser,Terme utile pour parler de etudes dans un contexte de preparation TCF.,to prioritize,J'utilise le mot 'prioriser' pour rendre mon expression plus precise.,B1,Etudes
probleme,Terme utile pour parler de societe dans un contexte de preparation TCF.,problem,J'utilise le mot 'probleme' pour rendre mon expression plus precise.,A2,Societe
procedure,Terme utile pour parler de travail dans un contexte de preparation TCF.,procedure,J'utilise le mot 'procedure' pour rendre mon expression plus precise.,B1,Travail
progression,Terme utile pour parler de etudes dans un contexte de preparation TCF.,progression,J'utilise le mot 'progression' pour rendre mon expression plus precise.,A2,Etudes
proposition,Terme utile pour parler de expression dans un contexte de preparation TCF.,proposal,J'utilise le mot 'proposition' pour rendre mon expression plus precise.,B1,Expression
qualite,Terme utile pour parler de travail dans un contexte de preparation TCF.,quality,J'utilise le mot 'qualite' pour rendre mon expression plus precise.,A2,Travail
questionnaire,Terme utile pour parler de examens dans un contexte de preparation TCF.,questionnaire,J'utilise le mot 'questionnaire' pour rendre mon expression plus precise.,B1,Examens
raisonnement,Terme utile pour parler de expression dans un contexte de preparation TCF.,reasoning,J'utilise le mot 'raisonnement' pour rendre mon expression plus precise.,B2,Expression
realiste,Terme utile pour parler de societe dans un contexte de preparation TCF.,realistic,J'utilise le mot 'realiste' pour rendre mon expression plus precise.,B1,Societe
recherche,Terme utile pour parler de etudes dans un contexte de preparation TCF.,research,J'utilise le mot 'recherche' pour rendre mon expression plus precise.,A2,Etudes
recommandation,Terme utile pour parler de expression dans un contexte de preparation TCF.,recommendation,J'utilise le mot 'recommandation' pour rendre mon expression plus precise.,B1,Expression
redaction,Terme utile pour parler de expression dans un contexte de preparation TCF.,writing,J'utilise le mot 'redaction' pour rendre mon expression plus precise.,A2,Expression
reference,Terme utile pour parler de etudes dans un contexte de preparation TCF.,reference,J'utilise le mot 'reference' pour rendre mon expression plus precise.,B1,Etudes
regulier,Terme utile pour parler de etudes dans un contexte de preparation TCF.,regular,J'utilise le mot 'regulier' pour rendre mon expression plus precise.,A2,Etudes
renforcer,Terme utile pour parler de expression dans un contexte de preparation TCF.,to strengthen,J'utilise le mot 'renforcer' pour rendre mon expression plus precise.,B1,Expression
reponse,Terme utile pour parler de examens dans un contexte de preparation TCF.,answer,J'utilise le mot 'reponse' pour rendre mon expression plus precise.,A1,Examens
revision,Terme utile pour parler de etudes dans un contexte de preparation TCF.,revision,J'utilise le mot 'revision' pour rendre mon expression plus precise.,A2,Etudes
rigueur,Terme utile pour parler de etudes dans un contexte de preparation TCF.,rigor,J'utilise le mot 'rigueur' pour rendre mon expression plus precise.,B2,Etudes
risque,Terme utile pour parler de societe dans un contexte de preparation TCF.,risk,J'utilise le mot 'risque' pour rendre mon expression plus precise.,B1,Societe
scolarite,Terme utile pour parler de etudes dans un contexte de preparation TCF.,schooling,J'utilise le mot 'scolarite' pour rendre mon expression plus precise.,A2,Etudes
selection,Terme utile pour parler de examens dans un contexte de preparation TCF.,selection,J'utilise le mot 'selection' pour rendre mon expression plus precise.,B1,Examens
sens,Terme utile pour parler de expression dans un contexte de preparation TCF.,meaning,J'utilise le mot 'sens' pour rendre mon expression plus precise.,A2,Expression
simulateur,Terme utile pour parler de technologie dans un contexte de preparation TCF.,simulator,J'utilise le mot 'simulateur' pour rendre mon expression plus precise.,B1,Technologie
strategie,Terme utile pour parler de etudes dans un contexte de preparation TCF.,strategy,J'utilise le mot 'strategie' pour rendre mon expression plus precise.,B1,Etudes
systematique,Terme utile pour parler de etudes dans un contexte de preparation TCF.,systematic,J'utilise le mot 'systematique' pour rendre mon expression plus precise.,B2,Etudes
technique,Terme utile pour parler de travail dans un contexte de preparation TCF.,technique,J'utilise le mot 'technique' pour rendre mon expression plus precise.,A2,Travail
tendance,Terme utile pour parler de societe dans un contexte de preparation TCF.,trend,J'utilise le mot 'tendance' pour rendre mon expression plus precise.,B2,Societe
these,Terme utile pour parler de expression dans un contexte de preparation TCF.,thesis,J'utilise le mot 'these' pour rendre mon expression plus precise.,B2,Expression
tolerance,Terme utile pour parler de societe dans un contexte de preparation TCF.,tolerance,J'utilise le mot 'tolerance' pour rendre mon expression plus precise.,B1,Societe
trace,Terme utile pour parler de etudes dans un contexte de preparation TCF.,trace,J'utilise le mot 'trace' pour rendre mon expression plus precise.,A2,Etudes
validation,Terme utile pour parler de examens dans un contexte de preparation TCF.,validation,J'utilise le mot 'validation' pour rendre mon expression plus precise.,B1,Examens
vigilance,Terme utile pour parler de travail dans un contexte de preparation TCF.,vigilance,J'utilise le mot 'vigilance' pour rendre mon expression plus precise.,B2,Travail
vision,Terme utile pour parler de societe dans un contexte de preparation TCF.,vision,J'utilise le mot 'vision' pour rendre mon expression plus precise.,B1,Societe
accueil,Mot frequent du niveau A1 utile dans le theme vie quotidienne.,accueil,Je place le mot 'accueil' dans une phrase d'entrainement TCF.,A1,Vie quotidienne
adresse,Mot frequent du niveau A1 utile dans le theme vie quotidienne.,adresse,Je place le mot 'adresse' dans une phrase d'entrainement TCF.,A1,Vie quotidienne
agenda,Mot frequent du niveau A1 utile dans le theme vie quotidienne.,agenda,Je place le mot 'agenda' dans une phrase d'entrainement TCF.,A1,Vie quotidienne
aise,Mot frequent du niveau A1 utile dans le theme vie quotidienne.,aise,Je place le mot 'aise' dans une phrase d'entrainement TCF.,A1,Vie quotidienne
ami,Mot frequent du niveau A1 utile dans le theme vie quotidienne.,ami,Je place le mot 'ami' dans une phrase d'entrainement TCF.,A1,Vie quotidienne
amitie,Mot frequent du niveau A1 utile dans le theme vie quotidienne.,amitie,Je place le mot 'amitie' dans une phrase d'entrainement TCF.,A1,Vie quotidienne
appartement,Mot frequent du niveau A1 utile dans le theme vie quotidienne.,appartement,Je place le mot 'appartement' dans une phrase d'entrainement TCF.,A1,Vie quotidienne
arbre,Mot frequent du niveau A1 utile dans le theme vie quotidienne.,arbre,Je place le mot 'arbre' dans une phrase d'entrainement TCF.,A1,Vie quotidienne
armoire,Mot frequent du niveau A1 utile dans le theme vie quotidienne.,armoire,Je place le mot 'armoire' dans une phrase d'entrainement TCF.,A1,Vie quotidienne
arrivee,Mot frequent du niveau A1 utile dans le theme vie quotidienne.,arrivee,Je place le mot 'arrivee' dans une phrase d'entrainement TCF.,A1,Vie quotidienne
article,Mot frequent du niveau A1 utile dans le theme vie quotidienne.,article,Je place le mot 'article' dans une phrase d'entrainement TCF.,A1,Vie quotidienne
ascenseur,Mot frequent du niveau A1 utile dans le theme vie quotidienne.,ascenseur,Je place le mot 'ascenseur' dans une phrase d'entrainement TCF.,A1,Vie quotidienne
assiette,Mot frequent du niveau A1 utile dans le theme vie quotidienne.,assiette,Je place le mot 'assiette' dans une phrase d'entrainement TCF.,A1,Vie quotidienne
attention,Mot frequent du niveau A1 utile dans le theme vie quotidienne.,attention,Je place le mot 'attention' dans une phrase d'entrainement TCF.,A1,Vie quotidienne
